ID,公司名称,职位名称,学历要求,工作经验,薪资,福利,工作内容,所属行业,上市情况,公司规模
4715859,特斯联（北京）科技有限公司,软件工程师-Web后端,本科,5-10年,10k-20k,大平台,"Golang,Node.js,Python","移动互联网,硬件",B轮,150-500人
5037916,重庆大邻盟科技有限公司,golang,本科,不限,9k-15k,饮料 年底奖金  五险,"Linux/Unix,PHP",O2O,天使轮,15-50人
5180391,重庆玖舆博泓科技有限公司,大数据开发工程师岗位,本科,3-5年,8k-12k,"五险一金,团队旅游,节假日福利,大数据",数据库,"数据服务,其他",未融资,50-150人
2843838,重庆允升科技有限公司,系统运维工程师,本科,3-5年,12k-20k,"快速成长,晋升双渠道,技术氛围好,福利完善",Linux,"电子商务,企业服务",A轮,50-150人
4434544,北京睿智融科控股股份有限公司,C++服务器开发工程师,本科,应届毕业生,5k-9k,"五险一金,带薪年假,带薪病假,周末双休",客户端,"数据服务,企业服务",不需要融资,150-500人
4051021,重庆易宠科技有限公司,Hadoop工程师,本科,3-5年,10k-15k,"五险一金,周末双休,福利多,氛围好",Java,电子商务,B轮,500-2000人
5221596,重庆久速科技有限责任公司,急聘+运维开发工程师,本科,1-3年,6k-8k,"五险,双休,年终,旅游","安全,Linux,Windows","移动互联网,企业服务",未融资,15-50人
5230919,马上消费金融股份有限公司,IT-WEB开发工程师,本科,3-5年,8k-15k,"持牌机构,五险一金,餐费补助,节日福利",前端开发,"金融,移动互联网",不需要融资,2000人以上
3526658,重庆誉存大数据科技有限公司,自然语言处理工程师,本科,3-5年,8k-16k,"学习系统化,行业前三,培养系统化,高激励","NLP,数据分析",金融,A轮,50-150人
4700010,深圳市锐明技术股份有限公司,后端技术带头人,本科,5-10年,20k-40k,"带团队,底层架构","Java,MySQL","数据服务,硬件",不需要融资,500-2000人
5033827,重庆学析优科技有限公司,图像处理算法工程师,本科,不限,10k-15k,"OpenC,C++,图像识别",,移动互联网,A轮,50-150人
4706790,专注（重庆）汽车经纪有限公司,架构师/资深java工程师,本科,5-10年,15k-24k,"扁平化,双休,绩效奖金,各种福利","SOA,云计算","移动互联网,生活服务",不需要融资,15-50人
4138912,深圳市晨北科技有限公司,后台开发工程师（智能应用）,本科,3-5年,8k-15k,"双休,年度体检,年度旅游,七险一金","Java,PHP",电子商务,未融资,150-500人
5332541,中冶赛迪重庆信息技术有限公司,机器学习算法工程师,硕士,1-3年,10k-20k,世界500强央企 大平台,,移动互联网,不需要融资,150-500人
5314113,北京神州绿盟信息安全科技股份有限公司,平台驻场工程师（重庆）-第三方(J11570),不限,1-3年,6k-10k,薪资福利待遇优,"运维,安全,Web安全,IT支持",信息安全,上市公司,500-2000人
4930893,特斯联（北京）科技有限公司,运维工程师,本科,3-5年,10k-15k,"大平台,五险一金,有保障,入职签合同","Linux,MySQL","移动互联网,硬件",B轮,150-500人
3013944,重庆允升科技有限公司,web前端工程师,本科,3-5年,10k-18k,"大牛带队,快速成长,技术氛围好,福利完善",HTML5,"电子商务,企业服务",A轮,50-150人
4359845,重庆星坛科技有限公司,运维工程师（VOD）,大专,1-3年,6k-8k,"团队合作,自主研发",Linux,移动互联网,不需要融资,150-500人
4138871,深圳市晨北科技有限公司,开发运维工程师,本科,3-5年,8k-15k,"双休,年度体检,年度旅游,七险一金","Linux,信息安全",电子商务,未融资,150-500人
4035297,重庆见东科技有限公司,运维工程师,大专,3-5年,10k-18k,"五险一金,周末双休,节假日福利,带薪年假","Linux,信息安全",电子商务,不需要融资,15-50人
5332476,中冶赛迪重庆信息技术有限公司,物流算法工程师,本科,1-3年,10k-20k,世界500强央企 大平台,"人工智能,机器学习",移动互联网,不需要融资,150-500人
